date,url,title,pub,pub_short
12/14/2023,https://www.derstandard.at/story/3000000198583/dutzende-verwandte-im-krieg-verloren-die-menschen-in-gaza-verdienen-auch-zu-leben?ref=rss,Dutzende Verwandte im Krieg verloren: 'Die Menschen in Gaza verdienen auch zu leben',Der Standard,ds
12/1/2023,https://www.scientificamerican.com/article/inside-the-satellite-tech-revealing-gazas-destruction/,Inside the Satellite Tech Revealing Gaza’s Destruction,Scientific American,sciam
12/20/2023,https://www.businessinsider.com/researchers-mapped-gaza-damage-buildings-destroyed-israel-hamas-2023-12,"Researchers Mapped Gaza Damage, Over a Third of Buildings Destroyed",Business Insider,bi
12/21/2023,https://www.rtlnieuws.nl/nieuws/buitenland/artikel/5425491/verwoesting-gaza-na-10-weken-oorlog,Zo groot is de verwoesting in Gaza na 10 weken oorlog | RTL Nieuws,RTL News,rtl
12/21/2023,https://on.ft.com/48jgVo0,Visual analysis: the wastelands in Gaza’s two biggest cities,Financial Times,ft
12/20/2023,https://stories.lavanguardia.com/internacional/20231220/74301/hospital-asediado-en-gaza,Asedio al último hospital operativo en el norte de Gaza,La Vanguardia,lv
12/22/2023,https://apnews.com/article/israel-gaza-bombs-destruction-death-toll-scope-419488c511f83c85baea22458472a796,"Israeli military campaign in Gaza among deadliest in history, experts say | AP News",AP News,ap
12/22/2023,https://wapo.st/4794UjR,"Photos, videos and maps show Palestinians have no safe place to go in Gaza ",The Washington Post,wapo
12/23/2023,https://amp.theguardian.com/world/2023/dec/22/israel-widens-ground-offensive-gaza-un-aid-resolution-talks-continue,Israel widens ground offensive in Gaza as UN aid resolution talks continue | Israel-Gaza war | The Guardian,The Guardian,guardian
12/21/2023,https://bnnbreaking.com/watch-now/satellite-imagery-unveils-the-extent-of-gazas-destruction/,Gaza's Devastation Uncovered Through Satellite Imagery,BNN Bloomberg,bloomberg
12/22/2023,https://www.reuters.com/graphics/ISRAEL-PALESTINIANS/MAPS/movajdladpa/#bombardment-in-gaza-intensifies,Mapping the conflict in Israel and Gaza,Reuters,reuters
12/26/2023,https://www.nytimes.com/interactive/2023/12/26/world/middleeast/gaza-south-displaced-damage.html,Nearly Two Million Crowd Into Gaza’s South as Fighting Intensifies,The New York Times,nyt
12/27/2023,https://on.ft.com/4ayWO72,Israel-UN relations plunge to new low as Gaza war rages,Financial Times,ft
12/30/2023,https://www.cbc.ca/news/politics/israel-gaza-bombing-hamas-civilian-casualties-1.7068647,"Israel's Gaza bombing campaign is the most destructive of this century, analysts say | CBC News",CBC News,cbc
12/30/2023,https://www.wsj.com/world/middle-east/gaza-destruction-bombing-israel-aa528542?mod=hp_lead_pos7,The Ruined Landscape of Gaza After Nearly Three Months of Bombing,Wall Street Journal,wsj
